l,eta,error_type,pth,stderr,cd_type,noise_model
6,4.0,CORR_ZX,0.2229402527357660,0.0006882228093426,SC,code_cap
2,0.5,CORR_ZX,0.1563505601426920,0.0007068250476388,SC,code_cap
2,1.0,CORR_ZX,0.1476732483901730,0.0007727130991898,SC,code_cap
2,5.0,CORR_ZX,0.1074586303416710,0.0012685421483024,SC,code_cap
3,0.5,CORR_ZX,0.1733139485866670,0.0005666667295602,SC,code_cap
3,1.0,CORR_ZX,0.1778224206329040,0.0005467444304376,SC,code_cap
3,5.0,CORR_ZX,0.1535997346742850,0.0006150295423745,SC,code_cap
4,0.5,CORR_ZX,0.14346670809342,0.0011595843775972,SC,code_cap
4,1.0,CORR_ZX,0.1721018783560930,0.0007705023262798,SC,code_cap
4,5.0,CORR_ZX,0.1868843567099160,0.0006978066403025,SC,code_cap
5,0.5,CORR_ZX,0.1081551068727850,0.0019315881125064,SC,code_cap
5,1.0,CORR_ZX,0.1427020236488660,0.0013158376087153,SC,code_cap
5,5.0,CORR_ZX,0.208997095869007,0.0008491562653606,SC,code_cap
6,0.5,CORR_ZX,0.0846152502107684,0.0062624163648673,SC,code_cap
6,1.0,CORR_ZX,0.1025263169145340,0.004022947243557,SC,code_cap
6,5.0,CORR_ZX,0.2264183444870570,0.0012435472086969,SC,code_cap
2,0.5,CORR_XZ,0.1570877925145280,0.000505556099608,SC,code_cap
2,1.0,CORR_XZ,0.1664723501038770,0.0004758640076573,SC,code_cap
2,5.0,CORR_XZ,0.1152930444586070,0.0006523594341451,SC,code_cap
3,0.5,CORR_XZ,0.1240845964397530,0.000830695873458,SC,code_cap
3,1.0,CORR_XZ,0.1612285150388000,0.0004989053450672,SC,code_cap
3,5.0,CORR_XZ,0.1554777824834080,0.0005527423054671,SC,code_cap
4,0.5,CORR_XZ,0.0847226233860825,0.0026287956193527,SC,code_cap
4,1.0,CORR_XZ,0.144088239898646,0.0009379803470835,SC,code_cap
4,5.0,CORR_XZ,0.1863586209693840,0.0008127844639417,SC,code_cap
5,0.5,CORR_XZ,0.064674256278188,0.004251317617198,SC,code_cap
5,1.0,CORR_XZ,0.1080208471802290,0.0027461667710551,SC,code_cap
5,5.0,CORR_XZ,0.2079299442957070,0.0009309032077636,SC,code_cap
6,0.5,CORR_XZ,0.047870136442351,0.0063584235395003,SC,code_cap
6,1.0,CORR_XZ,0.0762945687049205,0.0065797022038876,SC,code_cap
6,5.0,CORR_XZ,0.2246554471834000,0.0011130077284341,SC,code_cap
2,0.5,TOTAL,0.1563505601426920,0.0007068250476388,SC,code_cap
2,1.0,TOTAL,0.1476732483901730,0.0007727130991898,SC,code_cap
2,5.0,TOTAL,0.1074586303416710,0.0012685421483024,SC,code_cap
3,0.5,TOTAL,0.1240845964397530,0.000830695873458,SC,code_cap
3,1.0,TOTAL,0.1612285150388000,0.0004989053450672,SC,code_cap
3,5.0,TOTAL,0.1535997346742850,0.0006150295423745,SC,code_cap
4,0.5,TOTAL,0.0847226233860825,0.0026287956193527,SC,code_cap
4,1.0,TOTAL,0.144088239898646,0.0009379803470835,SC,code_cap
4,5.0,TOTAL,0.1868843567099160,0.0006978066403025,SC,code_cap
5,0.5,TOTAL,0.064674256278188,0.004251317617198,SC,code_cap
5,1.0,TOTAL,0.1080208471802290,0.0027461667710551,SC,code_cap
5,5.0,TOTAL,0.208997095869007,0.0008491562653606,SC,code_cap
6,0.5,TOTAL,0.047870136442351,0.0063584235395003,SC,code_cap
6,1.0,TOTAL,0.0762945687049205,0.0065797022038876,SC,code_cap
6,5.0,TOTAL,0.2246554471834000,0.0011130077284341,SC,code_cap
5,5.0,TOTAL,0.2079299442957070,0.0009309032077636,SC,code_cap
2,0.75,TOTAL,0.1616194276697320,0.0014858955458757,SC,code_cap
2,2.0,TOTAL,0.1183959560133580,0.0013852662549702,SC,code_cap
2,3.0,TOTAL,0.1106731022812090,0.0010513333316334,SC,code_cap
2,4.0,TOTAL,0.1074855875486710,0.0015237048798139,SC,code_cap
3,0.75,TOTAL,0.146213806514021,0.0010002905916412,SC,code_cap
3,2.0,TOTAL,0.1740932676477100,0.0005707722858563,SC,code_cap
3,3.0,TOTAL,0.1635274400434940,0.0003951875757532,SC,code_cap
3,4.0,TOTAL,0.159866073238527,0.0005166542350109,SC,code_cap
3,4.0,TOTAL,0.1583749399711500,0.0005436857190416,SC,code_cap
4,0.75,TOTAL,0.1107414122817300,0.0022751751805808,SC,code_cap
4,2.0,TOTAL,0.1858151636112890,0.0005467862991038,SC,code_cap
4,3.0,TOTAL,0.1960870761344270,0.0003806650349543,SC,code_cap
4,3.0,TOTAL,0.1950192081997200,0.0003378163983158,SC,code_cap
4,4.0,TOTAL,0.1928211845653300,0.0007462155674627,SC,code_cap
4,4.0,TOTAL,0.1929811612738230,0.0005988644140318,SC,code_cap
5,0.75,TOTAL,0.084,0.005,SC,code_cap
5,2.0,TOTAL,0.1855885007715670,0.0008105299521597,SC,code_cap
5,3.0,TOTAL,0.2054583602999630,0.0003718035468117,SC,code_cap
5,4.0,TOTAL,0.2105409310923990,0.0008257179586422,SC,code_cap
6,0.75,TOTAL,0.044474813298991,0.0244792614987601,SC,code_cap
6,2.0,TOTAL,0.1775130643592190,0.0015588358214537,SC,code_cap
6,3.0,TOTAL,0.2082181925241310,0.000383373633648,SC,code_cap
6,4.0,TOTAL,0.221260629853309,0.0008179553688546,SC,code_cap
6,4.0,TOTAL,0.2229402527357660,0.0006882228093426,SC,code_cap
2,1.5,TOTAL,0.1274239694210760,0.0015080929063697,SC,code_cap
2,2.5,TOTAL,0.1142040898103470,0.0017851181445059,SC,code_cap
2,3.5,TOTAL,0.108471441572767,0.0018520225959003,SC,code_cap
2,4.5,TOTAL,0.1060928054200350,0.0018391978067407,SC,code_cap
2,6.0,TOTAL,0.1033736803238130,0.001943951400998,SC,code_cap
2,7.0,TOTAL,0.1024374516472110,0.0019275878767616,SC,code_cap
3,1.5,TOTAL,0.1728459840532620,0.0008932848544645,SC,code_cap
3,2.5,TOTAL,0.1691376375384980,0.0006273522698714,SC,code_cap
3,3.5,TOTAL,0.1590232753395330,0.0006792561696246,SC,code_cap
3,4.5,TOTAL,0.15556257346032,0.0006190038460269,SC,code_cap
3,6.0,TOTAL,0.1501282589781530,0.0007299211592976,SC,code_cap
3,7.0,TOTAL,0.1486348433467300,0.000695188515357,SC,code_cap
4,1.5,TOTAL,0.1725455909744600,0.000883450460077,SC,code_cap
4,2.5,TOTAL,0.1932171517364280,0.0004683222976767,SC,code_cap
4,3.5,TOTAL,0.1953103883241540,0.0007265872573584,SC,code_cap
4,3.5,TOTAL,0.1937355369499740,0.0005970877254537,SC,code_cap
4,4.5,TOTAL,0.1900294317876930,0.0008770172879196,SC,code_cap
4,4.5,TOTAL,0.1900836619537190,0.0007007084379581,SC,code_cap
4,6.0,TOTAL,0.1834693033315150,0.0008530893847333,SC,code_cap
4,7.0,TOTAL,0.1803104022887010,0.0006561453263095,SC,code_cap
5,1.5,TOTAL,0.1585511774069050,0.0018551552791797,SC,code_cap
5,2.5,TOTAL,0.1972098331469930,0.0005704704155424,SC,code_cap
5,3.5,TOTAL,0.2090617921462750,0.0006255403430947,SC,code_cap
5,4.5,TOTAL,0.2106076704880540,0.0009838872177588,SC,code_cap
5,4.5,TOTAL,0.2108464670428270,0.0007528785534329,SC,code_cap
5,6.0,TOTAL,0.2054393127433430,0.00111361236917,SC,code_cap
5,7.0,TOTAL,0.2023812500573590,0.0010792788820667,SC,code_cap
6,1.5,TOTAL,0.1124722500317250,0.0087511713313823,SC,code_cap
6,2.5,TOTAL,0.1975173239432200,0.0007388111894875,SC,code_cap
6,3.5,TOTAL,0.2157420563691010,0.0005942209558929,SC,code_cap
6,4.5,TOTAL,0.2245212983092870,0.0010521534266782,SC,code_cap
6,6.0,TOTAL,0.2263454517522920,0.0016299311552647,SC,code_cap
6,7.0,TOTAL,0.2246033912399600,0.0017466997172831,SC,code_cap
2,1.67,TOTAL,0.14448789861303600,0.002121551833988400,SC,code_cap
2,3.0,TOTAL,0.11078461461456900,0.0010073797328502800,SC,code_cap
2,4.26,TOTAL,0.10700446865323300,0.0013528746306552800,SC,code_cap
2,5.89,TOTAL,0.1035591330447930,0.0014915147256446700,SC,code_cap
3,1.67,TOTAL,0.17534162167613900,0.0005169046786034740,SC,code_cap
3,3.0,TOTAL,0.16344758573545500,0.00040323295736340800,SC,code_cap
3,4.26,TOTAL,0.15668071975724700,0.0005817227468150160,SC,code_cap
3,5.89,TOTAL,0.15035781238878200,0.0006195650167333670,SC,code_cap
4,1.67,TOTAL,0.17801734335256400,0.000654050810379494,SC,code_cap
4,3.0,TOTAL,0.19608707613442700,0.00038066503495439600,SC,code_cap
4,4.26,TOTAL,0.19149437794798100,0.000791303132789322,SC,code_cap
4,4.26,TOTAL,0.19159871664725800,0.000651381811356727,SC,code_cap
4,5.89,TOTAL,0.18386655565069500,0.000812113787805145,SC,code_cap
4,5.89,TOTAL,0.18345885762614200,0.0006641278432978980,SC,code_cap
5,1.67,TOTAL,0.17182054301041400,0.0011510885160919400,SC,code_cap
5,3.0,TOTAL,0.2047255624006580,0.00034737213724097900,SC,code_cap
5,4.26,TOTAL,0.21077312318054000,0.0008409009705879090,SC,code_cap
5,5.89,TOTAL,0.20594505131428800,0.0010178378062457000,SC,code_cap
6,1.67,TOTAL,0.1402626932672970,0.0028994622037350800,SC,code_cap
6,3.0,TOTAL,0.20810684569324500,0.00037328855327021100,SC,code_cap
6,4.26,TOTAL,0.22284963154499100,0.0008214091953628390,SC,code_cap
6,5.89,TOTAL,0.2265652730506630,0.0014271276561013700,SC,code_cap

2,0.5,TOTAL,0.146,0,XZZXonSqu,code_cap
2,0.75,TOTAL,0.159,0,XZZXonSqu,code_cap
2,1,TOTAL,0.162,0,XZZXonSqu,code_cap
2,2,TOTAL,0.186,0,XZZXonSqu,code_cap
2,3,TOTAL,0.214,0,XZZXonSqu,code_cap
2,5,TOTAL,0.228,0,XZZXonSqu,code_cap
2,7,TOTAL,0.238,0,XZZXonSqu,code_cap
3,0.5,TOTAL,0.133,0,XZZXonSqu,code_cap 
3,0.75,TOTAL,0.134,0,XZZXonSqu,code_cap
3,1,TOTAL,0.135,0,XZZXonSqu,code_cap
3,2,TOTAL,0.135,0,XZZXonSqu,code_cap
3,3,TOTAL,0.138,0,XZZXonSqu,code_cap
3,5,TOTAL,0.148,0,XZZXonSqu,code_cap
3,7,TOTAL,0.157,0,XZZXonSqu,code_cap
4,3,TOTAL,0.137,0,XZZXonSqu,code_cap
4,5,TOTAL,0.143,0,XZZXonSqu,code_cap
4,7,TOTAL,0.153,0,XZZXonSqu,code_cap
5,5,TOTAL,0.133,0,XZZXonSqu,code_cap
5,7,TOTAL,0.143,0,XZZXonSqu,code_cap
6,5,TOTAL,0.133,0,XZZXonSqu,code_cap
6,7,TOTAL,0.143,0,XZZXonSqu,code_cap
3,1,TOTAL,0.135,0,ZXXZonSqu,code_cap
3,2,TOTAL,0.156,0,ZXXZonSqu,code_cap
3,3,TOTAL,0.184,0,ZXXZonSqu,code_cap
3,5,TOTAL,0.235,0,ZXXZonSqu,code_cap
3,7,TOTAL,0.248,0,ZXXZonSqu,code_cap
4,2,TOTAL,0.132,0,ZXXZonSqu,code_cap
4,3,TOTAL,0.159,0,ZXXZonSqu,code_cap
4,5,TOTAL,0.265,0,ZXXZonSqu,code_cap
4,7,TOTAL,0.248,0,ZXXZonSqu,code_cap
5,3,TOTAL,0.159,0,ZXXZonSqu,code_cap
5,5,TOTAL,0.221,0,ZXXZonSqu,code_cap
5,7,TOTAL,0.262,0,ZXXZonSqu,code_cap
6,5,TOTAL,0.214,0,ZXXZonSqu,code_cap
6,7,TOTAL,0.262,0,ZXXZonSqu,code_cap



2,0.5,TOTAL_PY_CORR,0.172,0,SC,code_cap
2,0.5,TOTAL_PY_CORR,0.17,0,XZZXonSqu,code_cap
2,0.5,TOTAL_PY_CORR,0.17,0,ZXXZonSqu,code_cap
3,0.5,TOTAL_PY_CORR,0.166,0,SC,code_cap
3,0.5,TOTAL_PY_CORR,0.158,0,XZZXonSqu,code_cap
3,0.5,TOTAL_PY_CORR,0.159,0,ZXXZonSqu,code_cap
4,0.5,TOTAL_PY_CORR,0.139,0,SC,code_cap
4,0.5,TOTAL_PY_CORR,0.128,0,XZZXonSqu,code_cap
4,0.5,TOTAL_PY_CORR,0.120,0,ZXXZonSqu,code_cap
