l,eta,error_type,pth,stderr
4.26,CORR_XZ,0.11658904794497946,0.000956810821640087
4.26,CORR_ZX,0.10700446865323349,0.0013528746306552774
5.89,CORR_XZ,0.11096814879827616,0.0009802300739198697
5.89,CORR_ZX,0.1035591330447933,0.0014915147256446741
1.67,CORR_XZ,0.17534162167613868,0.0005169046786034744
1.67,CORR_ZX,0.17502457563134496,0.0005573255708130841
3,CORR_XZ,0.1681368951540273,0.00037117362927345965
3,CORR_ZX,0.16344758573545512,0.00040323295736340806
4.26,CORR_XZ,0.15858406461911081,0.000528680569499482
4.26,CORR_ZX,0.15668071975724662,0.0005817227468150162
5.89,CORR_XZ,0.15286802545710684,0.0005247426788719534
5.89,CORR_ZX,0.15035781238878182,0.0006195650167333667
1.67,CORR_XZ,0.17801734335256378,0.000654050810379494
1.67,CORR_ZX,0.17935515205612704,0.0008090822739005348
3,CORR_XZ,0.19608707613442725,0.00038066503495439596
3,CORR_ZX,0.19514664189996922,0.0003382024882637474
4.26,CORR_XZ,0.19149437794798121,0.000791303132789322
4.26,CORR_ZX,0.19159871664725767,0.000651381811356727
5.89,CORR_XZ,0.18386655565069548,0.000812113787805145
5.89,CORR_ZX,0.18345885762614236,0.0006641278432978982
1.67,CORR_XZ,0.1738936825092198,0.0008620801284066447
1.67,CORR_ZX,0.17182054301041444,0.0011510885160919352
3,CORR_XZ,0.2047255624006582,0.00034737213724097947
3,CORR_ZX,0.20554378477353166,0.00035391946141865086
4.26,CORR_XZ,0.21077312318054017,0.0008409009705879087
4.26,CORR_ZX,0.21137183564387022,0.0006863692763882588
5.89,CORR_XZ,0.20594505131428822,0.0010178378062457004
5.89,CORR_ZX,0.20670737721913915,0.0008902327345138967
1.67,CORR_XZ,0.15832801090554918,0.0015037871736425137
1.67,CORR_ZX,0.1402626932672966,0.0028994622037350833
3,CORR_XZ,0.20810684569324492,0.00037328855327021094
3,CORR_ZX,0.21021524062632904,0.0003929708061363768
4.26,CORR_XZ,0.22284963154499074,0.0008214091953628385
4.26,CORR_ZX,0.2247819687735276,0.0006943761560706621
5.89,CORR_XZ,0.2265652730506629,0.0014271276561013716
5.89,CORR_ZX,0.22853677963360067,0.0012774988325677495
