l,eta,error_type,CD_type,noise_model,pth,stderr
6,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0048238545909881,6.100070364477313e-06
3,0.5,X_MEM,SC,circuit_level,0.0084107684015709,9.56053227024516e-06
3,0.5,Z_MEM,SC,circuit_level,0.0056418942287764,2.998055102183052e-06
3,0.5,TOTAL_MEM,SC,circuit_level,0.0059117836385543,2.686487803361189e-06
5,0.5,X_MEM,SC,circuit_level,0.009822243895515,1.0947307365536067e-05
5,0.5,Z_MEM,SC,circuit_level,0.0040450186244512,3.5272182238129018e-06
5,0.5,TOTAL_MEM,SC,circuit_level,0.0040658418355263,3.449819623449724e-06
3,5.0,X_MEM,SC,circuit_level,0.0093607413283384,2.8961668261273e-06
3,5.0,Z_MEM,SC,circuit_level,0.0078742500457322,6.354888786217122e-06
3,5.0,TOTAL_MEM,SC,circuit_level,0.0086739381437127,2.249900515759141e-06
5,5.0,X_MEM,SC,circuit_level,0.0114405230279962,1.159963737093119e-05
5,5.0,Z_MEM,SC,circuit_level,0.0055986092235407,5.0025811653264325e-06
5,5.0,TOTAL_MEM,SC,circuit_level,0.0059279891299994,4.054282480093248e-06
3,10.0,X_MEM,SC,circuit_level,0.0096144055184684,2.7972372088576653e-06
3,10.0,Z_MEM,SC,circuit_level,0.0084220736270052,6.7162765179492535e-06
3,10.0,TOTAL_MEM,SC,circuit_level,0.009176487545358,2.230701220663767e-06
5,10.0,X_MEM,SC,circuit_level,0.0117363775658511,1.3278222526339629e-05
5,10.0,Z_MEM,SC,circuit_level,0.0059860879894473,5.859805984369356e-06
5,10.0,TOTAL_MEM,SC,circuit_level,0.0064919939056031,4.356705469417155e-06
3,25.0,X_MEM,SC,circuit_level,0.0098135774272204,2.641718441813414e-06
3,25.0,Z_MEM,SC,circuit_level,0.0088685030929984,6.682842104983754e-06
3,25.0,TOTAL_MEM,SC,circuit_level,0.009530210050212,2.23605379569683e-06
5,25.0,X_MEM,SC,circuit_level,0.0123760355207581,1.10352906851407e-05
5,25.0,Z_MEM,SC,circuit_level,0.0063106686018592,6.759153811437916e-06
5,25.0,TOTAL_MEM,SC,circuit_level,0.006973330954728,4.664387094946374e-06
3,50.0,X_MEM,SC,circuit_level,0.0098942158233786,2.667236685616548e-06
3,50.0,Z_MEM,SC,circuit_level,0.0090649292319424,6.87943945738827e-06
3,50.0,TOTAL_MEM,SC,circuit_level,0.0096720710548143,2.289812838391686e-06
5,50.0,X_MEM,SC,circuit_level,0.0125628723230707,1.1224060914901788e-05
5,50.0,Z_MEM,SC,circuit_level,0.0064635768090614,7.300488880615032e-06
5,50.0,TOTAL_MEM,SC,circuit_level,0.0071869275748442,4.741541136548389e-06
3,0.5,X_MEM,ZXXZonSqu,circuit_level,0.0085310061433108,9.04938732965737e-06
3,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0055480312688387,2.917152012222004e-06
3,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0057570790693782,2.5732480796985496e-06
5,0.5,X_MEM,ZXXZonSqu,circuit_level,0.009919381099346,9.729116840889733e-06
5,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0039570143207616,3.537927419837669e-06
5,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.003984293738629,3.423863845353206e-06
3,5.0,X_MEM,ZXXZonSqu,circuit_level,0.0109690721081756,1.2883188539726644e-05
3,5.0,Z_MEM,ZXXZonSqu,circuit_level,0.0066469952939614,3.8895374426059545e-06
3,5.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0069705361338326,3.4550920015279817e-06
5,5.0,X_MEM,ZXXZonSqu,circuit_level,0.0129761236010053,1.4034706779196136e-05
5,5.0,Z_MEM,ZXXZonSqu,circuit_level,0.0048393006816386,4.328721961704559e-06
5,5.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0048769087703406,4.17373268008316e-06
3,10.0,X_MEM,ZXXZonSqu,circuit_level,0.0115682153005691,1.4064330716448513e-05
3,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0069200680274802,4.327208339249442e-06
3,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0072861254067639,3.7725187434907457e-06
5,10.0,X_MEM,ZXXZonSqu,circuit_level,0.013911304611181,1.3937864284740988e-05
