l,eta,error_type,CD_type,noise_model,pth,stderr
6,500.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0262876334921637,0.0001347382773764
2,1000.0,X_MEM,ZXXZonSqu,circuit_level,0.0196232491356578,4.02381896322722e-05
2,1000.0,Z_MEM,ZXXZonSqu,circuit_level,0.0262272240993309,3.088170089051935e-05
2,1000.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0245767632255424,1.480885124081468e-05
3,1000.0,X_MEM,ZXXZonSqu,circuit_level,0.0250625628865659,0.0002610497950715
3,1000.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
3,1000.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.025065297091278,0.0002575442861573
4,1000.0,X_MEM,ZXXZonSqu,circuit_level,0.0256990360595515,0.0001478742800211
4,1000.0,Z_MEM,ZXXZonSqu,circuit_level,0.00354,inf
4,1000.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0257024329759456,0.0001392010200474
5,1000.0,X_MEM,ZXXZonSqu,circuit_level,0.0252591641701227,0.0001870034299723
5,1000.0,Z_MEM,ZXXZonSqu,circuit_level,0.00736,inf
5,1000.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.025237674258428,0.0001929551333914
6,1000.0,X_MEM,ZXXZonSqu,circuit_level,0.0267368548167057,0.0001414535793427
6,1000.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
6,1000.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0267361743789042,0.0001435318664713
2,0.5,X_MEM_PY,SC,circuit_level,0.00904375363361623,5.049990144351941e-06
2,0.5,Z_MEM_PY,SC,circuit_level,0.009772529832590292,5.880922030797993e-06
2,0.5,TOTAL_MEM_PY,SC,circuit_level,0.009297527123838177,3.756018901008828e-06
3,0.5,X_MEM_PY,SC,circuit_level,0.009649818227129313,8.74439760170806e-06
3,0.5,Z_MEM_PY,SC,circuit_level,0.008086963919005779,7.78349922194397e-06
3,0.5,TOTAL_MEM_PY,SC,circuit_level,0.008574360367871623,3.888383506480742e-06
4,0.5,X_MEM_PY,SC,circuit_level,0.009915568940438385,2.1827245236643627e-05
